"TrackName","type_of_device","configuration","microphone","recorder","sample_rate","Recordist_first_name","Recordist_last_name","recording_date","recording_time","recording_length","Audio_file","SubjectName","subject_importance","quality_rating","Species_short_name","Subject_species","sex","age_class","identified_by","certainty_of_species","latitude_degrees","latitude_minutes","latitude_seconds","latitude_orientation","longitude_degrees","longitude_minutes","longitude_seconds","longitude_orientation","elevation","Distance_from_marker","position","Marker","Area","Region","country","state_or_province","vegetation_type","Analysis","Analysis_date","Analysis_method","number_of_phrases","Textgrid_file","Keycode_file"
"tCOMM09-1","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:25:00","00:02:30","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","383","Files_TextGrids/2009/March/CATH1.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-2","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:27:00","00:00:51","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","152","Files_TextGrids/2009/March/CATH2.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-3","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:28:00","00:00:57","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","140","Files_TextGrids/2009/March/CATH3.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-4","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:29:00","00:03:20","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","572","Files_TextGrids/2009/March/CATH4.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-5","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:32:00","00:03:05","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","360","Files_TextGrids/2009/March/CATH5.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-6","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:35:00","00:08:22","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","1123","Files_TextGrids/2009/March/CATH6.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tCOMM09-7","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2009-03-21","08:44:00","00:01:30","Click to play","CATH-CP1","Primary subject","4","CATH","California Thrasher","Male(s)","Reproductive adult","sight and sound","5","38","15","17.95","N","120","53","5.43","W","168","","","Along road","Lake Comanche","Amador","USA","California","Open Chapparal","CATH processed","2013-02-23","Praat annotation","151","Files_TextGrids/2009/March/CATH7.TextGrid","Files_Keys/CATH_2009/TRIPLELETTER_N_CA_phrases_REDO.pdf"
"tFTANN0412-1","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-04-30","18:18:00","00:04:47","Click to play","CAVIFTANN-LSpr12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","15.77","N","120","37","46.5","W","728","","","Meadow below spring","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","59","Files_TextGrids/2012/Apr/AmadMyJn12-1.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0413-1113","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-26","07:14:00","00:16:27","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","153","Files_TextGrids/2013/Apr/1113.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0413-1115","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-26","07:35:00","00:19:14","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","151","Files_TextGrids/2013/Apr/1115.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0413-1135","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-26","15:58:00","00:11:35","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","94","Files_TextGrids/2013/Apr/1135.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0413-1141","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-27","07:25:00","00:11:58","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","92","Files_TextGrids/2013/Apr/1141.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0413-1147","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-04-27","08:48:00","00:16:43","Click to play","Meadow","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","","Files_TextGrids/2013/Apr/1147.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0512-3","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-02","07:05:00","00:01:29","Click to play","UpperSpring CAVI12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","8","Files_TextGrids/2012/May/AmadMyJn12-3.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0512-4","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-06","10:30:00","00:04:23","Click to play","UpperSpring CAVI12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","56","Files_TextGrids/2012/May/AmadMyJn12-4.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0512-7","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-09","16:20:00","00:04:16","Click to play","UpperSpring CAVI12","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","72","Files_TextGrids/2012/May/AmadMyJn12-7.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0512-8","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-09","16:24:00","00:02:17","Click to play","UpperSpring CAVI12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","39","Files_TextGrids/2012/May/AmadMyJn12-8.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0512-9","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-05-09","16:26:00","00:01:05","Click to play","UpperSpring CAVI12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.45","N","120","39","46.94","W","736","","","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","11","Files_TextGrids/2012/May/AmadMyJn12-9.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0513-1160","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-13","08:32:00","00:13:51","Click to play","AGBk","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","18.07","N","120","37","42.71","W","730","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","440","Files_TextGrids/2013/May/1160.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1179","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-14","08:24:00","00:05:20","Click to play","Gate CAVI","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","8.19","N","120","37","55.99","W","782","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","70","Files_TextGrids/2013/May/1179.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1180","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-14","08:42:00","00:11:34","Click to play","Gate CAVI","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","8.19","N","120","37","55.99","W","782","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","127","Files_TextGrids/2013/May/1180.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1181","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-14","08:50:00","00:07:18","Click to play","Gate CAVI","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","8.19","N","120","37","55.99","W","782","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","42","Files_TextGrids/2013/May/1181.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1194","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-14","14:46:00","00:14:54","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","383","Files_TextGrids/2013/May/1194.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1199","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-15","07:50:00","00:09:24","Click to play","AGO","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","21.9","","120","37","41.2","","733","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","","Files_TextGrids/2013/May/1199.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1201","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-15","08:37:00","00:24:50","Click to play","Gate CAVI","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","8.19","N","120","37","55.99","W","782","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","406","Files_TextGrids/2013/May/1201.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1207","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-15","15:20:00","00:14:20","Click to play","Gate CAVI","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","8.19","N","120","37","55.99","W","782","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","146","Files_TextGrids/2013/May/1207.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1208","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-15","15:39:00","00:15:09","Click to play","Gate CAVI","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","8.19","N","120","37","55.99","W","782","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","126","Files_TextGrids/2013/May/1208.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-1209","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-05-15","15:58:00","00:18:23","Click to play","Gate CAVI","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","8.19","N","120","37","55.99","W","782","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","219","Files_TextGrids/2013/May/1209.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0513-20","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2013-05-08","09:55:00","00:05:47","Click to play","BHGRW13","Primary subject","","BHGR","Black-headed Grosbeak","Unkown sex","Reproductive adult","sight and sound","5","38","29","21.7","N","120","37","55.13","W","782","","W","Workshop","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","BHGR processed","2013-07-25","Praat annotation","22","Files_TextGrids/2013/May/WETA0513-20.TextGrid","Files_Keys/BHGB/BHGBtypes2014.pdf"
"tFTANN0513-20","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2013-05-08","09:55:00","00:05:47","Click to play","All_species_here","Background species","","BHGR","Black-headed Grosbeak","Unkown sex","Reproductive adult","sight and sound","","38","29","21.7","N","120","37","55.13","W","782","","W","Workshop","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","full track processed","2014-11-05","Praat annotation","","Files_TextGrids/2013/May/1020clc.TextGrid","Files_Keys/AmadorSpecies.pdf"
"tFTANN0513-21","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2013-05-08","15:37:00","00:05:08","Click to play","BHGRW13","Primary subject","","BHGR","Black-headed Grosbeak","Unkown sex","Reproductive adult","sight and sound","5","38","29","22.81","N","120","37","53.16","W","769","","","Workshop","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","BHGR processed","2013-07-25","Praat annotation","10","Files_TextGrids/2013/May/WETA0513-21.TextGrid","Files_Keys/BHGB/BHGBtypes2014.pdf"
"tFTANN0513-21","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2013-05-08","15:37:00","00:05:08","Click to play","All_species_here","Background species","","BHGR","Black-headed Grosbeak","Unkown sex","Reproductive adult","sight and sound","","38","29","22.81","N","120","37","53.16","W","769","","","Workshop","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","full track processed","2013-07-25","Praat annotation","","Files_TextGrids/2013/May/1021.TextGrid","Files_Keys/AmadorSpecies.pdf"
"tFTANN0513-22","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2013-05-09","07:40:00","00:05:54","Click to play","All_species_here","Background species","","BHGR","Black-headed Grosbeak","Unkown sex","Reproductive adult","sight and sound","","38","29","22.81","N","120","37","53.16","W","769","","","Workshop","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","full track processed","2013-07-25","Praat annotation","","Files_TextGrids/2013/May/1022.TextGrid","Files_Keys/AmadorSpecies.pdf"
"tFTANN0513-23","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2013-05-09","07:46:00","00:03:52","Click to play","All_species_here","Background species","","BHGR","Black-headed Grosbeak","Unkown sex","Reproductive adult","sight and sound","","38","29","22.81","N","120","37","53.16","W","769","","","Workshop","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","full track processed","2013-07-25","Praat annotation","","Files_TextGrids/2013/May/1023.TextGrid","Files_Keys/AmadorSpecies.pdf"
"tFTANN0513-24","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2013-05-09","13:30:00","00:06:23","Click to play","All_species_here","Background species","","BHGR","Black-headed Grosbeak","Unkown sex","Reproductive adult","sight and sound","","38","29","22.81","N","120","37","53.16","W","769","","","Workshop","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","full track processed","2014-11-06","Praat annotation","","Files_TextGrids/2013/May/1024clc.TextGrid","Files_Keys/AmadorSpecies.pdf"
"tFTANN0612-1a","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-06-25","18:25:00","00:05:15","Click to play","CAVIFTANN-LSpr12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","17.82","N","120","37","45.22","W","731","50","SE","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","54","Files_TextGrids/2012/Jun/AmadorJy12-1.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0612-24","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-06-01","06:40:00","00:02:28","Click to play","UpperSpring CAVI12","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","28","18.97","N","120","37","46.85","W","741","50","N","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","29","Files_TextGrids/2012/Jun/AmadMyJn12-24.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0612-25","single microphone","MOC2012","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD650","44","Martin","Cody","2012-06-01","06:45:00","00:03:27","Click to play","UpperSpring CAVI12","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","28","18.97","N","120","37","46.85","W","741","50","N","Spring East of Wee House","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","2013-02-23","Praat annotation","39","Files_TextGrids/2012/Jun/AmadMyJn12-25.TextGrid","Files_Keys/CAVI_2012/CaViPhrases2012.pdf"
"tFTANN0613-1212","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","07:46:00","00:03:22","Click to play","AGBk","Primary subject","","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","17.72","N","120","37","42.65","W","728","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","78","Files_TextGrids/2013/Jun/1212.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1214","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","08:05:00","00:05:29","Click to play","Meadow","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","96","Files_TextGrids/2013/Jun/1214.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1215","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","08:10:00","00:02:56","Click to play","Meadow","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","54","Files_TextGrids/2013/Jun/1215.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1216","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","08:23:00","00:05:44","Click to play","Meadow","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","65","Files_TextGrids/2013/Jun/1216.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1217","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","08:39:00","00:04:50","Click to play","Meadow","Primary subject","2","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","10","Files_TextGrids/2013/Jun/1217.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1218","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","08:57:00","00:12:04","Click to play","Meadow","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","255","Files_TextGrids/2013/Jun/1218.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1219","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","09:21:00","00:20:15","Click to play","Meadow","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","235","Files_TextGrids/2013/Jun/1219.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1220","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","10:09:00","00:15:43","Click to play","Meadow","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","5","38","29","23.02","N","120","37","39.88","W","753","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","169","Files_TextGrids/2013/Jun/1220.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1222","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","14:54:00","00:12:03","Click to play","AGBk","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","18.07","N","120","37","42.71","W","730","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","150","Files_TextGrids/2013/Jun/1222.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1225","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","15:36:00","00:03:02","Click to play","AGO","Primary subject","3","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","21.24","N","120","37","42.33","W","734","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","17","Files_TextGrids/2013/Jun/1225.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
"tFTANN0613-1226","single microphone","RL2013","Sennheiser omnidirectional with Telinga parabolic reflector","Marantz PMD661","44","Richard","Hedley","2013-06-06","15:53:00","00:08:31","Click to play","AGO","Primary subject","4","CAVI","Cassin's Vireo","Male(s)","Reproductive adult","sight and sound","","38","29","21.24","N","120","37","42.33","W","734","","","Ft Ann generally","FT. Ann","Amador","USA","California","Mixed Conifer-Oak Forest","CAVI Processed","","Praat annotation","122","Files_TextGrids/2013/Jun/1226.TextGrid","Files_Keys/CaViPhrasesRH_2014.pdf"
